GEOID,total_hhsE,no_vehE,hh_1personE,hh_2personE,hh_3personE,hh_4person_plusE,inc_quint_1,inc_quint_2,inc_quint_3,total_emp,basic_emp,retail_emp,service_emp
49035111701,2153,271,525,569,398,661,1065,537,551,1272,210,323,739
49035114500,2279,58,365,541,419,954,397,532,1350,63805,39077,3321,21407
49035111905,1534,131,474,544,217,299,616,294,624,2032,168,309,1555
49035110102,1572,9,300,676,249,347,147,207,1218,3460,90,13,3357
49035111002,2316,104,792,813,266,445,309,307,1700,12054,2338,343,9373
49035110800,2174,121,612,815,239,508,413,558,1203,24031,298,421,23312
49035113906,1452,166,445,338,274,395,488,441,523,6657,5320,198,1139
49035113522,1071,0,187,395,196,293,139,121,811,325,39,38,248
49035111305,1416,51,257,531,249,379,230,271,915,1206,91,128,987
49035111001,1436,25,255,501,315,365,180,179,1077,1226,109,283,834
49035110401,1391,266,564,327,196,304,345,256,790,2207,191,316,1700
49035101600,1732,370,807,485,270,170,724,330,678,836,23,151,662
49035113307,1896,54,414,464,225,793,508,634,754,9391,6140,157,3094
49035113525,1895,21,82,364,286,1163,59,361,1475,2885,2185,22,678
49035113534,2038,40,185,430,409,1014,88,323,1627,277,94,25,158
49035112918,1727,29,313,511,300,603,243,557,927,4097,875,797,2425
49035113535,2071,32,71,498,264,1238,55,209,1807,666,68,179,419
49035102900,2470,643,1138,781,289,262,1221,506,743,11050,3838,2922,4290
49035113539,1232,17,45,305,308,574,80,216,936,290,73,53,164
49035113515,2187,108,441,917,259,570,461,502,1224,1712,61,531,1120
49035104300,1241,26,426,384,191,240,194,329,718,1532,21,158,1353
49035112614,1147,48,179,375,167,426,175,127,845,435,72,4,359
49035112100,3486,231,1001,1332,436,717,782,873,1831,15896,3190,1372,11334
49035112619,1047,5,161,421,107,358,105,102,840,327,59,11,257
49045131001,770,12,56,166,137,411,68,131,571,346,20,70,256
49035115106,4264,21,395,937,679,2253,201,371,3692,1738,524,84,1130
49035103500,1666,32,520,626,261,259,277,275,1114,541,55,45,441
49035113410,1665,52,209,425,252,779,371,344,950,1231,74,501,656
49035104800,1944,34,537,664,251,492,383,282,1279,727,106,135,486
49035112611,2364,42,337,820,414,793,255,413,1696,2006,185,116,1705
49035111600,3067,377,1227,1042,593,205,1263,796,1008,17989,8925,1722,7342
49035113511,1210,28,180,498,126,406,221,267,722,543,54,114,375
49035113802,1155,41,174,287,201,493,322,411,422,651,294,28,329
49035980000,0,0,0,0,0,0,0,0,0,25018,12934,542,11542
49035112820,2721,55,330,908,578,905,328,261,2132,2270,94,18,2158
