fromId,toId,walk_time,car_time
49035112822,49035112822,0,0
49035112822,49035112402,111,9
49035112822,49035112823,38,5
49035112822,49035112819,86,10
49035112822,49035112610,114,10
49035112822,49035112604,61,6
49035112822,49035112700,78,8
49035112822,49035112816,99,9
49035112822,49035112617,109,11
49035112822,49035112605,67,7
49035112822,49035113012,74,6
49035112822,49035112613,85,8
49035112822,49035112616,120,12
49035112822,49035112814,113,16
49035112822,49035112813,59,6
49035112822,49035112804,26,2
49035112822,49035112812,34,4
49035112822,49035113011,114,9
49035112822,49035112805,53,5
49035112822,49035112612,91,8
49035112822,49035112608,113,10
49035112822,49035112817,85,8
49035113521,49035113521,0,0
49035113521,49035113520,52,5
49035113521,49035113310,80,7
49035113521,49035113538,70,9
49035113521,49035112914,113,9
49035113521,49035113702,52,5
49035113521,49035112907,100,8
49035113521,49035113801,81,7
49035113521,49035113413,94,9
49035113521,49035113309,67,7
49035113521,49035113527,100,9
49035113521,49035113406,97,9
49035113521,49035113512,120,11
49035113521,49035113533,78,6
49035113521,49035113536,52,6
49035113521,49035113308,92,8
49035113521,49035112913,97,8
49035113521,49035113513,58,6
49035113521,49035113306,96,8
49035113521,49035113528,111,9
49035113521,49035113532,40,5
49035113521,49035113537,33,3
49035113521,49035113409,114,10
49035113521,49035113701,53,5
49035113521,49035113523,27,3
49035113521,49035113522,39,5
49035113521,49035113307,118,9
49035113521,49035113539,77,7
49035113521,49035113515,86,7
49035113521,49035113410,79,6
49035113521,49035113511,88,8
49035113521,49035113802,66,6
49035113521,49035113505,50,6
49035113521,49035113803,84,8
49035113521,49035112904,72,7
49035113521,49035112905,70,6
49035113521,49035113411,65,7
49035113521,49035113514,98,9
49035113521,49035112201,117,10
49035113521,49035112912,98,8
49035113521,49035113510,70,7
49035113521,49035113600,50,5
49035100306,49035100306,0,1
49035113520,49035113521,52,5
49035113520,49035113520,0,0
49035113520,49035113310,33,3
49035113520,49035113538,95,9
49035113520,49035113702,103,8
49035113520,49035112907,113,7
49035113520,49035113413,102,8
49035113520,49035113309,37,5
49035113520,49035113406,92,9
49035113520,49035113512,97,10
49035113520,49035113533,89,5
49035113520,49035113536,63,7
49035113520,49035113308,60,6
49035113520,49035112913,112,7
49035113520,49035113513,57,6
49035113520,49035113509,71,7
49035113520,49035113306,46,4
49035113520,49035113532,63,5
49035113520,49035113537,20,3
49035113520,49035113701,104,8
49035113520,49035113523,79,7
49035113520,49035113522,35,3
49035113520,49035113307,87,8
49035113520,49035113539,103,9
49035113520,49035113515,79,8
49035113520,49035112100,106,8
49035113520,49035113410,75,6
49035113520,49035111600,102,9
49035113520,49035113511,63,7
49035113520,49035113802,92,8
49035113520,49035113505,76,7
49035113520,49035112904,104,9
49035113520,49035112905,85,5
49035113520,49035113411,60,7
49035113520,49035113514,75,8
49035113520,49035113305,92,8
49035113520,49035113510,46,6
49035113520,49035113600,76,7
49035112402,49035112822,111,9
49035112402,49035112402,0,0
49035112402,49035112914,93,10
49035112402,49035112907,106,10
49035112402,49035111201,118,11
49035112402,49035112501,68,8
49035112402,49035112610,38,5
49035112402,49035112503,49,6
49035112402,49035112913,118,10
49035112402,49035112202,92,11
49035112402,49035112920,107,9
49035112402,49035112604,99,9
49035112402,49035112700,44,6
49035112402,49035112918,91,9
49035112402,49035112619,103,13
49035112402,49035112611,67,9
49035112402,49035112605,58,6
49035112402,49035112921,119,9
49035112402,49035112613,120,11
49035112402,49035112917,110,11
49035112402,49035112502,81,9
49035112402,49035111202,120,12
49035112402,49035112812,100,9
49035112402,49035114200,86,10
49035112402,49035112403,38,6
49035112402,49035112612,69,8
49035112402,49035112608,96,11
49035112402,49035112302,94,10
49035112402,49035112618,93,10
49035112402,49035112404,51,7
49035112402,49035112201,95,10
49035112402,49035112301,117,11
49035113310,49035113521,80,7
49035113310,49035113520,33,3
49035113310,49035113310,0,0
49035113310,49035113538,107,9
49035113310,49035113413,103,8
49035113310,49035113309,23,3
49035113310,49035113406,67,9
49035113310,49035113512,99,12
49035113310,49035113533,115,7
49035113310,49035113536,67,7
49035113310,49035113308,27,4
