GEOID,total_hhsE,no_vehE,avg_hh_sizeE,hh_1personE,hh_2personE,hh_3personE,hh_4person_plusE,inc_quint_1,inc_quint_2,inc_quint_3,inc_quint_4,inc_quint_5,inc_lt_10kE,inc_btw_10k_15kE,inc_btw_15k_20kE,inc_btw_20k_25kE,inc_btw_25k_30kE,inc_btw_30k_35kE,inc_btw_35k_40kE,inc_btw_40k_45kE,inc_btw_45k_50kE,inc_btw_50k_60kE,inc_btw_60k_75kE,inc_btw_75k_100kE,inc_btw_100k_125kE,inc_btw_125k_150kE,inc_btw_150k_200kE,inc_gt_200kE,total_emp,basic_emp,retail_emp,service_emp,hbo_prod,hbw_prod,nhb_prod,hbo_attr,hbw_attr,nhb_attr,hbo_attr_bal,hbw_attr_bal,nhb_attr_bal
49035100600,2280,246,2.76,529,860,493,398,887,794,339,197,63,219,142,85,117,160,164,110,138,180,85,281,339,146,51,63,0,3037,40,131,2866,11605.713195146402,2113.3253592292344,5504.375602656314,12755.4,3644.4,6016.0999999999995,10190.281495586094,1802.521876781212,4883.3063238488385
49045130600,739,114,2.47,219,215,142,163,243,267,66,114,49,53,36,64,28,38,24,34,41,35,56,101,66,32,82,15,34,905,162,33,710,3670.3083249296037,719.2596856174879,1745.4854419470412,3392.8999999999996,1086,1673.5,2710.5857978874874,537.1360877467886,1358.3905076313613
49045131200,1205,19,2.59,318,447,141,299,245,498,176,226,60,18,68,25,28,19,87,49,97,75,147,130,176,156,70,21,39,859,98,10,751,6068.740887111529,1268.9266230508472,2981.8288459910405,3624.6,1030.8,1870.3999999999999,2895.690790481001,509.8341429552391,1518.215479816969
49035111306,1058,21,2.49,280,434,137,207,104,368,135,213,238,49,17,16,14,0,8,28,53,28,156,103,135,106,107,124,114,2121,79,4,2038,5196.890465937921,1153.3622076703311,2945.695316156186,7962.5,2545.2,3546.2999999999997,6361.236527949283,1258.8570631060093,2878.5540825892417
49035112907,1425,59,3.35,308,380,157,580,265,394,283,367,116,34,67,48,10,75,31,60,58,73,90,113,283,202,165,74,42,2246,55,328,1863,7990.54738990766,1616.774303559987,3756.268249908462,10311.7,2695.2,5032.3,8238.01101478865,1333.0471304743503,4084.749657336898
49035104000,1217,34,2.9,275,329,165,448,126,258,93,344,396,58,9,0,42,17,0,17,59,6,71,105,93,232,112,183,213,1050,97,279,674,6703.942437874421,1476.7619151233034,3592.842264892408,5622.4,1260,3033.6,4491.732025713286,623.1965658940641,2462.392258112039
49035113801,1386,52,4.25,128,223,275,760,140,593,367,210,76,46,25,0,53,0,16,86,67,107,185,148,367,157,53,45,31,242,86,0,156,9037.891057606406,1796.20207889422,4542.926915295257,1576.3999999999999,290.4,1093,1259.3850251377391,143.6319704251081,887.1949954234108
49035111702,1810,102,2.49,518,703,259,330,451,839,237,188,95,78,116,39,53,77,88,187,95,37,194,326,237,120,68,44,51,1487,128,199,1160,8734.486972787017,1787.506515908298,4492.775779974563,7088.2,1784.3999999999999,3709.3,5662.758776440829,882.565041413784,3010.862210909476
49035113413,1573,86,3.57,228,448,264,633,316,557,300,298,102,71,64,53,7,67,54,15,130,49,113,250,300,206,92,66,36,589,66,61,462,9301.953593093687,1851.805130480382,4457.924730463308,3276.7,706.8,1910.3,2617.7536867982935,349.5835974396226,1550.6025615346216
49035113016,1702,21,3.96,148,285,322,947,131,340,213,370,648,21,0,24,10,66,10,29,11,85,133,82,213,210,160,369,279,3717,278,704,2735,11142.210886425479,2338.9562058989377,6057.765242597803,16872.1,4460.4,8298,13479.110684233983,2206.115843264987,6735.538949701247
