fromId,toId,n_transit_HBO,n_SOV_HBO,n_HOV_HBO,n_walk_HBO,n_bike_HBO,n_transit_HBW,n_SOV_HBW,n_HOV_HBW,n_walk_HBW,n_bike_HBW,n_transit_NHB,n_SOV_NHB,n_HOV_NHB,n_walk_NHB,n_bike_NHB,routes
49035112822,49035110900,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,5907|2343
49035112822,49035103700,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5907|2022
49035112822,49035113537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5907|39020|87442
49035112822,49035113409,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5907|2332
49035112822,49035104100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5907|2022|20160
49035112822,49035113701,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5907|2061
49035112822,49035112700,2,11,29,0,0,1,7,1,0,0,1,10,17,2,0,5907
49035112822,49035111400,0,1,2,0,0,0,3,1,0,0,0,1,2,0,0,5907|27610
49035112822,49035101400,1,8,20,0,0,1,39,7,0,0,0,7,12,0,0,5907|8246
49035112822,49035113523,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5907|2053
49035112822,49035113904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5907|2332
49035112822,49035100800,0,1,1,0,0,0,2,0,0,0,0,1,1,0,0,5907
49035112822,49035113526,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5907|2053
49035112822,49035111701,0,1,1,0,0,0,2,0,0,0,0,1,1,0,0,5907|27610
49035112822,49035111905,0,1,3,0,0,0,4,1,0,0,0,1,2,0,0,5907|2343
49035112822,49035111002,1,6,16,0,0,1,25,4,0,0,0,6,10,0,0,5907|2069
49035112822,49035110800,1,7,17,0,0,3,42,8,0,0,0,6,10,0,0,5907|2343
49035112822,49035113522,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5907|2053
49035112822,49035111305,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,5907|2069
49035112822,49035111001,0,1,3,0,0,0,3,0,0,0,0,1,2,0,0,5907|20201|45418
49035112822,49035110401,0,1,2,0,0,0,4,1,0,0,0,1,1,0,0,5907|32878
49035112822,49035101600,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,5907|45418
49035112822,49035113307,0,1,1,0,0,0,15,3,0,0,0,1,2,0,0,5907|39020|34505
49035112822,49035113534,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5907|2053
49035112822,49035112918,0,3,7,0,0,0,11,2,0,0,0,4,7,0,0,5907|45424
49035112822,49035113535,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5907|34522
49035112822,49035102900,1,6,15,0,0,2,18,3,0,0,0,7,11,0,0,5907
49035112822,49035113539,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5907|51572
49035112822,49035113515,0,2,4,0,0,0,3,1,0,0,0,2,4,0,0,5907|2053
