GEOID,total_hhsE,no_vehE,avg_hh_sizeE,hh_1personE,hh_2personE,hh_3personE,hh_4person_plusE,inc_quint_1,inc_quint_2,inc_quint_3,inc_quint_4,inc_quint_5,inc_lt_10kE,inc_btw_10k_15kE,inc_btw_15k_20kE,inc_btw_20k_25kE,inc_btw_25k_30kE,inc_btw_30k_35kE,inc_btw_35k_40kE,inc_btw_40k_45kE,inc_btw_45k_50kE,inc_btw_50k_60kE,inc_btw_60k_75kE,inc_btw_75k_100kE,inc_btw_100k_125kE,inc_btw_125k_150kE,inc_btw_150k_200kE,inc_gt_200kE,total_emp,basic_emp,retail_emp,service_emp
49035103800,981,21,2.49,302,310,138,231,126,219,138,221,277,23,0,36,10,11,46,14,35,10,63,97,138,90,131,141,136,438,22,26,390
49035111201,1116,38,2.58,374,303,188,251,197,239,166,341,173,30,50,43,30,16,28,19,13,71,54,82,166,171,170,69,104,1230,272,176,782
49035113020,5835,134,3.68,922,1096,831,2986,372,1502,826,1648,1487,39,0,55,136,63,79,0,139,96,494,773,826,1152,496,690,797,2401,351,168,1882
49035103100,1877,239,2.35,736,535,317,289,568,567,235,314,193,90,158,83,124,83,30,58,25,70,178,236,235,179,135,126,67,1607,40,29,1538
49035112501,1602,78,2.71,443,490,295,374,367,575,232,311,117,69,51,67,51,100,29,118,115,31,182,129,232,161,150,53,64,989,145,402,442
49035101102,2161,202,1.7,1123,732,244,62,661,752,220,250,278,190,15,87,62,205,102,191,87,89,187,198,220,229,21,204,74,382,30,1,351
49035103200,2154,343,1.87,1224,461,287,182,720,657,357,293,127,154,298,48,52,112,56,67,82,148,174,186,357,272,21,82,45,6775,37,93,6645
49035112819,2405,13,3.42,181,825,392,1007,173,611,247,419,955,86,0,20,18,32,17,112,83,45,129,242,247,228,191,415,540,5181,986,947,3248
49035112610,2193,109,2.68,505,737,413,538,589,562,273,588,181,156,114,78,53,23,165,83,63,48,98,270,273,291,297,139,42,795,296,86,413
49035101800,1712,301,2.07,711,627,257,117,698,531,172,142,169,243,96,77,122,42,118,54,21,55,133,268,172,92,50,63,106,2070,172,553,1345
49035112503,1826,39,2.7,482,557,309,478,361,776,251,279,159,93,80,46,45,36,61,104,104,41,237,290,251,178,101,116,43,1136,590,75,471
49035113536,1084,56,4.09,86,234,234,530,214,323,231,185,131,7,14,56,66,16,55,41,9,4,135,134,231,131,54,109,22,1068,66,410,592
49035113308,1545,174,3.49,310,351,242,642,382,763,186,155,59,21,63,96,54,75,73,106,70,111,210,266,186,118,37,14,45,1163,100,130,933
49035112913,1447,0,3.63,177,465,176,629,135,409,346,297,260,37,0,48,8,17,25,44,46,0,95,224,346,138,159,169,91,533,72,77,384
49035101900,1561,527,1.52,1002,452,61,46,682,500,120,141,118,362,10,65,43,108,94,52,68,71,162,147,120,100,41,46,72,5479,352,472,4655
49035113513,2021,199,2.98,548,566,247,660,379,1005,297,232,108,0,19,111,119,97,33,115,207,108,209,366,297,151,81,49,59,3547,179,939,2429
49035112202,1456,0,2.7,362,483,285,326,266,531,127,378,154,26,41,60,54,54,31,73,71,102,199,86,127,238,140,115,39,6112,2290,1255,2567
49035113013,1352,9,3.84,83,363,206,700,74,196,173,419,490,15,0,0,28,9,22,0,11,31,37,117,173,257,162,296,194,1889,300,195,1394
49035113509,2233,133,3.18,422,658,409,744,490,907,373,390,73,43,45,6,128,26,242,142,110,84,288,283,373,252,138,58,15,1018,202,526,290
49035102300,1634,541,1.75,1018,347,120,149,992,307,98,207,30,123,346,169,89,142,123,21,71,67,70,78,98,139,68,18,12,3802,920,221,2661
49035113306,2107,199,2.85,482,699,439,487,965,666,223,171,82,215,79,167,44,174,286,84,116,103,180,183,223,113,58,27,55,837,91,115,631
49035101101,1111,82,1.63,651,352,65,43,386,353,98,218,56,49,54,55,67,93,68,29,31,80,66,147,98,113,105,25,31,690,14,150,526
49035112920,1782,169,2.54,503,648,291,340,511,465,330,256,220,85,155,96,63,66,46,55,58,29,175,148,330,145,111,125,95,1357,107,476,774
49045130703,2655,106,3.47,358,765,380,1152,348,813,388,754,352,11,69,19,61,64,124,118,90,116,176,313,388,396,358,248,104,2537,1787,45,705
