GEOID,total_hhsE,no_vehE,avg_hh_sizeE,hh_1personE,hh_2personE,hh_3personE,hh_4person_plusE,inc_quint_1,inc_quint_2,inc_quint_3,inc_quint_4,inc_quint_5,inc_lt_10kE,inc_btw_10k_15kE,inc_btw_15k_20kE,inc_btw_20k_25kE,inc_btw_25k_30kE,inc_btw_30k_35kE,inc_btw_35k_40kE,inc_btw_40k_45kE,inc_btw_45k_50kE,inc_btw_50k_60kE,inc_btw_60k_75kE,inc_btw_75k_100kE,inc_btw_100k_125kE,inc_btw_125k_150kE,inc_btw_150k_200kE,inc_gt_200kE,total_emp,basic_emp,retail_emp,service_emp
49045130701,1132,6,3.82,143,303,164,522,114,284,216,344,174,61,21,0,10,14,8,0,57,63,76,88,216,166,178,110,64,1301,434,314,553
49035112812,1864,109,3.05,316,588,363,597,321,627,310,416,190,86,55,0,49,93,38,62,125,61,170,209,310,267,149,108,82,1081,77,326,678
49035110300,2324,28,2.6,514,978,367,465,303,664,396,561,400,59,38,44,32,98,32,42,99,54,298,171,396,420,141,219,181,1009,135,322,552
49035114200,1700,15,3.1,257,649,269,525,307,477,301,405,210,38,26,63,52,72,56,36,42,59,152,188,301,234,171,145,65,1884,296,142,1446
49035113411,758,19,4.02,79,167,154,358,107,167,249,153,82,8,6,39,6,24,24,26,13,11,28,89,249,99,54,71,11,459,18,157,284
49035102000,1453,221,1.84,737,507,118,91,607,461,156,127,102,141,100,68,97,129,72,66,94,42,201,58,156,46,81,30,72,2653,189,851,1613
49035113514,2547,273,2.55,847,702,375,623,959,1033,364,138,53,190,61,244,143,195,126,255,168,68,342,200,364,101,37,42,11,580,58,26,496
49035113011,1879,94,3.25,320,634,329,596,280,347,311,378,563,70,38,123,16,14,19,49,36,38,64,160,311,231,147,281,282,3563,447,437,2679
49035101000,1408,105,2.14,563,437,234,174,255,298,169,326,360,27,56,68,18,54,32,37,47,54,67,93,169,155,171,132,228,667,194,1,472
49035104900,1316,78,2.3,514,387,144,271,289,568,218,164,77,106,44,67,46,11,15,142,59,46,95,226,218,124,40,77,0,450,48,137,265
49035112821,1888,72,3.5,185,563,243,897,225,262,109,416,876,89,7,27,35,30,37,6,42,54,90,70,109,192,224,248,628,544,125,20,399
49035112805,1503,18,3.51,205,398,283,617,46,394,246,460,357,42,0,0,0,0,4,45,53,67,117,112,246,270,190,215,142,2400,572,390,1438
49035104700,2145,91,2.44,619,757,318,451,362,527,509,488,259,102,95,38,26,24,77,56,51,75,154,191,509,311,177,108,151,667,90,41,536
49035112403,3100,187,2.46,975,978,671,476,805,1276,366,335,318,190,70,157,159,105,124,154,97,152,378,495,366,240,95,126,192,9377,3275,1703,4399
49035103900,1505,31,2.83,290,541,296,378,248,333,236,259,429,61,44,13,51,35,44,39,12,109,48,125,236,142,117,186,243,436,23,111,302
49035113305,2759,115,3.05,527,909,486,837,1059,1079,283,191,147,203,90,247,137,193,189,149,145,173,271,341,283,123,68,74,73,16823,4959,592,11272
49035112916,1503,18,3.26,264,307,362,570,238,617,269,222,157,9,40,16,43,48,82,30,98,71,176,242,269,162,60,127,30,809,376,62,371
49035113412,720,6,4.34,23,166,181,350,63,211,173,184,89,6,0,6,22,12,17,13,9,32,95,62,173,129,55,66,23,597,47,139,411
49035112609,1726,51,3.1,262,581,337,546,180,363,260,372,551,21,30,16,23,65,25,39,69,17,110,128,260,279,93,289,262,794,115,218,461
49035111302,2222,9,2.92,317,850,474,581,216,506,358,569,573,75,8,46,0,11,76,38,40,38,27,363,358,359,210,259,314,709,137,69,503
49035110200,1848,19,2.79,317,814,286,431,238,355,265,553,437,0,59,31,43,46,59,10,25,18,118,184,265,317,236,253,184,1893,159,589,1145
49035112612,1883,168,2.88,416,751,177,539,366,513,412,342,250,96,61,84,96,0,29,48,54,112,108,191,412,231,111,211,39,1989,136,643,1210
49035111903,1834,85,2.35,611,641,278,304,431,639,280,329,155,81,56,57,49,51,137,109,135,38,144,213,280,199,130,127,28,7757,193,227,7337
49035111101,2622,48,2.36,935,846,381,460,571,818,275,479,479,68,40,119,112,110,122,125,68,67,198,360,275,305,174,253,226,2843,283,42,2518
49035111103,2549,147,2.18,1030,917,312,290,595,757,226,537,434,177,46,47,162,70,93,159,72,105,168,253,226,304,233,231,203,1947,195,57,1695
49035112608,1613,0,3.4,126,560,292,635,247,248,253,541,324,7,46,45,35,47,67,26,32,24,65,101,253,333,208,204,120,1191,140,54,997
49035112818,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1767,268,13,1486
49035112615,732,5,3.32,49,274,139,270,23,124,127,207,251,14,2,0,0,1,6,11,22,0,25,66,127,106,101,127,124,548,131,64,353
49035112302,1378,38,2.82,372,435,228,343,202,531,275,249,121,0,7,26,42,55,72,77,17,119,153,165,275,122,127,30,91,7937,270,2699,4968
49035112618,1267,47,2.7,376,360,220,311,184,384,177,173,349,9,30,69,26,50,0,16,17,83,146,122,177,73,100,132,217,773,92,8,673
49035100308,1308,149,3.39,211,272,322,503,590,507,109,60,42,92,222,92,47,0,137,73,52,58,169,155,109,28,32,28,14,638,62,299,277
49035112815,1553,0,3.4,97,540,239,677,50,306,176,276,745,41,0,0,0,9,0,21,52,40,47,146,176,178,98,306,439,622,114,92,416
49035111904,1735,392,1.86,890,562,123,160,500,742,251,112,130,151,64,66,40,110,69,73,124,82,273,190,251,80,32,71,59,1466,33,357,1076
49035111102,2643,45,2.33,850,1098,240,455,574,936,366,292,475,58,36,164,74,172,70,138,125,170,147,356,366,89,203,220,255,1217,116,80,1021
49035102500,2290,624,1.62,1379,680,177,54,973,762,162,325,68,278,206,119,170,111,89,67,97,113,135,350,162,135,190,40,28,13791,3851,612,9328
49035112404,1710,174,2.27,664,560,192,294,598,681,239,152,40,54,87,119,92,152,94,92,82,54,159,294,239,112,40,40,0,3668,1237,439,1992
49035102600,1348,89,3.34,318,308,394,328,624,361,212,100,51,114,28,130,83,140,129,18,79,72,96,96,212,55,45,28,23,4560,3324,175,1061
49045980000,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26
49035113007,1356,22,3.67,104,445,230,577,41,276,348,299,392,9,0,0,8,16,8,22,0,58,28,168,348,250,49,250,142,355,141,4,210
49035112201,1750,28,3,426,543,299,482,265,661,205,408,211,25,47,38,50,33,72,104,78,67,210,202,205,246,162,152,59,2794,89,307,2398
49045131100,2729,136,3.1,442,818,549,920,319,1252,395,626,137,31,102,16,35,51,84,152,141,229,217,513,395,435,191,101,36,1311,266,6,1039
49035112912,736,0,3.43,64,220,155,297,88,213,171,160,104,5,0,31,9,15,28,27,45,0,66,75,171,56,104,80,24,2776,72,1325,1379
49035100200,543,50,2.56,101,233,134,75,58,101,42,134,208,5,4,21,16,0,12,0,20,0,11,70,42,78,56,48,160,903,778,30,95
49035112817,3182,67,2.9,565,1226,529,862,315,703,644,810,710,57,20,30,91,45,72,71,70,82,176,304,644,537,273,387,323,33591,10254,8735,14602
49035112301,1452,59,2.65,399,513,158,382,425,522,123,222,160,60,82,26,76,95,86,61,70,94,118,179,123,166,56,97,63,3775,102,266,3407
49035103400,1832,50,2.37,553,706,261,312,318,564,233,409,308,57,54,7,96,47,57,71,92,48,161,192,233,171,238,169,139,753,111,113,529
49035101500,1433,120,2.08,685,417,232,99,679,355,151,47,201,189,65,152,94,62,117,71,109,26,73,76,151,32,15,137,64,1676,15,274,1387
49035113510,1050,20,3.25,266,326,108,350,181,377,172,239,81,28,41,65,12,8,27,24,76,69,49,159,172,132,107,66,15,2741,50,109,2582
49035113105,1620,20,3.69,179,409,221,811,153,321,354,474,318,10,0,0,40,42,61,10,41,39,56,175,354,266,208,249,69,1595,1335,5,255
49035114800,1232,18,2.86,147,553,224,308,63,94,30,251,794,38,0,8,0,0,17,7,7,9,23,48,30,113,138,127,667,505,45,0,460
49035110402,1317,33,2.85,293,439,115,470,165,424,222,193,313,17,18,75,16,7,32,22,48,68,95,191,222,98,95,152,161,870,42,46,782
49035113600,1558,84,3.45,186,450,270,652,382,748,267,124,37,7,49,36,76,104,110,121,62,175,178,212,267,67,57,29,8,667,72,63,532
49035114300,6394,66,3.17,1174,1688,1066,2466,923,1885,886,1581,1119,284,0,72,133,280,154,243,301,153,488,700,886,950,631,846,273,4544,734,727,3083
49035115209,3096,97,3.53,350,649,728,1369,416,750,419,662,849,42,33,9,84,95,153,154,134,58,232,172,419,480,182,512,337,7964,5492,249,2223
49035104200,2678,82,2.44,720,1030,417,511,186,539,243,665,1045,18,20,17,13,16,102,35,78,0,248,178,243,373,292,274,771,1403,100,124,1179
