fromId,toId,miles
49035112822,49035112822,0.06338001913828029
49035112822,49035112402,4.1899163632296474
49035112822,49035112823,1.4490412218673494
49035112822,49035112819,3.24791529446854
49035112822,49035112610,4.27628717362397
49035112822,49035112604,2.287273043607939
49035112822,49035112700,2.942821280773485
49035112822,49035112816,3.781053102514074
49035112822,49035112617,4.105409671045273
49035112822,49035112605,2.6029303938260404
49035112822,49035113012,2.8701206705854574
49035112822,49035112613,3.271527458461233
49035112822,49035112616,4.481961549455057
49035112822,49035112814,4.158847726397156
49035112822,49035112813,2.2133296879466116
49035112822,49035112804,1.0631687524078195
49035112822,49035112812,1.267600382765606
49035112822,49035113011,4.248946773211379
49035112822,49035112805,2.0368598307380665
49035112822,49035112612,3.4368126064100815
49035112822,49035112608,4.278772664570569
49035112822,49035112817,3.238594703418793
49035113521,49035113521,0.06089452819168106
49035113521,49035113520,1.9784507934929847
49035113521,49035113310,3.141660556501423
49035113521,49035113538,3.0142791454882127
49035113521,49035112914,4.188052245019698
49035113521,49035113702,1.952353138553693
49035113521,49035112907,3.7276150471621907
49035113521,49035113801,3.0981644649359366
49035113521,49035113413,3.53871773522065
49035113521,49035113309,2.5171809561683673
49035113521,49035113527,3.7189158288490938
49035113521,49035113406,3.60085500888563
49035113521,49035113512,4.531049995650391
49035113521,49035113533,2.9546273627698314
49035113521,49035113536,1.9660233387599886
49035113521,49035113308,3.447997315669778
49035113521,49035112913,3.6735556190736576
49035113521,49035113513,2.177290069220923
49035113521,49035113306,3.60271912709558
49035113521,49035113528,4.117837125778269
49035113521,49035113532,1.568966160040762
49035113521,49035113537,1.2731927373954541
49035113521,49035113409,4.312948165086309
49035113521,49035113701,2.0039270756956267
49035113521,49035113523,1.0053810878993874
49035113521,49035113522,1.569587532777412
49035113521,49035113307,4.667751997713348
49035113521,49035113539,2.9018106801545978
49035113521,49035113515,3.221196266792598
49035113521,49035113410,2.976996781289224
49035113521,49035113511,3.3715684690618515
49035113521,49035113802,2.553220574894056
49035113521,49035113505,1.8889731194154127
49035113521,49035113803,3.170865075123964
49035113521,49035112904,2.6855729678004647
49035113521,49035112905,2.6352417761318305
49035113521,49035113411,2.437023873140542
49035113521,49035113514,3.594641281519132
49035113521,49035112201,4.350851902021947
49035113521,49035112912,3.6518075732909145
49035113521,49035113510,2.6588539401245233
49035113521,49035113600,2.006412566642226
49035100306,49035100306,0.02361216399269266
49035113520,49035113521,1.9790721662296347
49035113520,49035113520,0.19448966657138952
49035113520,49035113310,1.4316427852411548
49035113520,49035113538,3.9637366870891175
49035113520,49035113702,3.8748803857481953
49035113520,49035112907,4.282500900990469
49035113520,49035113413,3.800315657350218
49035113520,49035113309,1.398710030198715
49035113520,49035113406,3.447997315669778
49035113520,49035113512,3.69841052853965
49035113520,49035113533,3.395180633054544
49035113520,49035113536,2.359352281059316
49035113520,49035113308,2.2586898977220478
49035113520,49035112913,4.266966582574224
49035113520,49035113513,2.1716977145910747
49035113520,49035113509,2.819789478916823
49035113520,49035113306,1.778990145028397
49035113520,49035113532,2.489219183019126
49035113520,49035113537,0.7891433755452546
49035113520,49035113701,3.925832950153479
49035113520,49035113523,2.9533846172965315
49035113520,49035113522,1.392496302832217
49035113520,49035113307,3.563572644686642
49035113520,49035113539,3.8512682217555025
49035113520,49035113515,3.029192091167808
49035113520,49035112100,4.071855543266184
49035113520,49035113410,2.845887133856115
49035113520,49035111600,3.817714093976413
49035113520,49035113511,2.496054283122274
49035113520,49035113802,3.5026781164949607
49035113520,49035113505,2.839052033752967
49035113520,49035112904,3.885443722271242
49035113520,49035112905,3.228652739632396
49035113520,49035113411,2.260554015931997
49035113520,49035113514,2.7613804416717413
49035113520,49035113305,3.47347359787242
49035113520,49035113510,1.810680154597537
49035113520,49035113600,2.95897697192638
49035112402,49035112822,4.1899163632296474
49035112402,49035112402,0.27153988591596556
49035112402,49035112914,3.509513216598109
49035112402,49035112907,3.9960480693949076
49035112402,49035111201,4.431008985049772
49035112402,49035112501,2.6383486398150797
49035112402,49035112610,1.5006151590092833
49035112402,49035112503,1.9206631289845528
49035112402,49035112913,4.43908683062622
49035112402,49035112202,3.470366734189171
49035112402,49035112920,4.043893770116942
49035112402,49035112604,3.7375570109485876
49035112402,49035112700,1.700697180210521
49035112402,49035112918,3.4256278971503846
49035112402,49035112619,3.8984925497408875
49035112402,49035112611,2.566890775100352
49035112402,49035112605,2.296593634657686
49035112402,49035112921,4.446543303466018
49035112402,49035112613,4.580138441845726
49035112402,49035112917,4.280015410043869
49035112402,49035112502,3.096921719462637
49035112402,49035111202,4.555904905116384
49035112402,49035112812,3.8034225210334673
49035112402,49035114200,3.3038388407670225
49035112402,49035112403,1.4751388768066414
49035112402,49035112612,2.6451837399182274
49035112402,49035112608,3.6940609193831015
49035112402,49035112302,3.591534417835883
49035112402,49035112618,3.5206979258578053
49035112402,49035112404,1.9654019660233388
49035112402,49035112201,3.6288167820348716
49035112402,49035112301,4.474505076615259
49035113310,49035113521,3.141660556501423
49035113310,49035113520,1.4316427852411548
49035113310,49035113310,0.4200479699752694
49035113310,49035113538,4.516137049970796
49035113310,49035113413,3.869909403854997
49035113310,49035113309,1.015944424422434
49035113310,49035113406,2.5196664471149663
49035113310,49035113512,3.8904147041644404
49035113310,49035113533,4.4838256676650055
49035113310,49035113536,2.6489119763381264
49035113310,49035113308,1.0526054158847726
49035113310,49035113513,3.2572358855182872
49035113310,49035113509,2.564405284153753
49035113310,49035113306,0.9544285234941032
49035113310,49035113532,3.5778642176295876
49035113310,49035113537,1.9206631289845528
