fromId,toId,transit_time,access_time,wait_time,ride_time,transfer_time,egress_time,combined_time,routes,n_rides,car_time,walk_time,bike_time
49035112822,49035113532,82,18.2,15.600000000000001,30.2,2.2,16,82.1,5907|2053,2,18,NA,111
49035112822,49035113408,115,18.2,12,69.8,0.9,14.2,115.1,5907|2332,2,27,NA,NA
49035112822,49035102702,93,18.2,13.9,48.1,2.9,10.5,93.6,5907|45409,2,21,NA,NA
49035112822,49035101200,101,18.2,13.5,46.6,2.6,20.5,101.4,5907|45418,2,26,NA,NA
49035112822,49035110900,102,18.2,16.700000000000003,37.6,1.1,28.7,102.4,5907|2343,2,23,NA,NA
49035112822,49035103700,99,18.2,13.3,42.9,1.5,23.5,99.3,5907|2022,2,21,NA,NA
49035112822,49035113537,94,18.2,15.8,45.1,6,9.1,94.2,5907|39020|87442,3,19,NA,NA
49035112822,49035113409,119,18.2,12,67.4,0.9,21.1,119.6,5907|2332,2,25,NA,NA
49035112822,49035104100,91,18.2,17.5,51.9,3.4,1,91.9,5907|2022|20160,3,25,NA,NA
49035112822,49035113701,84,18.2,23.3,31.9,0.5,10.4,84.3,5907|2061,2,20,NA,NA
49035112822,49035112700,44,18.2,10.8,6,0,9.2,44.2,5907,1,8,78,30
49035112822,49035111400,74,18.2,12.4,32.4,2.4,8.6,74,5907|27610,2,16,NA,NA
49035112822,49035101400,101,18.2,16.8,51,0,15.4,101.4,5907|8246,2,29,NA,NA
49035112822,49035113523,83,18.2,15.600000000000001,33.2,2.2,14.7,83.9,5907|2053,2,20,NA,117
49035112822,49035113904,114,18.2,12,73.9,0.9,9.8,114.8,5907|2332,2,29,NA,NA
49035112822,49035100800,79,18.2,10.8,41,0,9.9,79.9,5907,1,22,NA,NA
49035112822,49035113526,113,18.2,15.600000000000001,43.4,2.2,34,113.4,5907|2053,2,28,NA,NA
49035112822,49035111701,69,18.2,12.4,26.6,2.4,9.9,69.6,5907|27610,2,16,NA,NA
49035112822,49035111905,67,18.2,16.700000000000003,24.9,1.1,6.7,67.6,5907|2343,2,16,NA,NA
49035112822,49035111002,84,18.2,13.700000000000001,34.3,2.1,16,84.3,5907|2069,2,17,NA,98
49035112822,49035110800,79,18.2,16.700000000000003,34.6,1.1,9,79.7,5907|2343,2,19,NA,NA
49035112822,49035113522,83,18.2,15.600000000000001,29.7,2.2,17.5,83.2,5907|2053,2,18,NA,NA
49035112822,49035111305,74,18.2,13.700000000000001,27.8,2.1,12.7,74.5,5907|2069,2,16,NA,88
49035112822,49035111001,109,18.2,26.6,28.5,2.8,33.3,109.5,5907|20201|45418,3,21,NA,NA
49035112822,49035110401,92,18.2,15.600000000000001,39.1,1.3,18,92.1,5907|32878,2,20,NA,NA
49035112822,49035101600,96,18.2,13.5,53.3,2.6,8.7,96.2,5907|45418,2,23,NA,NA
49035112822,49035113307,108,18.2,15.5,44.6,4.2,26.2,108.7,5907|39020|34505,3,21,NA,NA
49035112822,49035113534,105,18.2,15.600000000000001,47.2,2.2,22.1,105.3,5907|2053,2,22,NA,NA
49035112822,49035112918,76,18.2,22.4,15,2.5,18.5,76.5,5907|45424,2,11,NA,67
49035112822,49035113535,110,18.2,33.900000000000006,33,0.9,24.1,110.1,5907|34522,2,21,NA,NA
49035112822,49035102900,69,18.2,10.8,28,0,12.9,69.9,5907,1,20,NA,NA
49035112822,49035113539,102,18.2,16.4,55,1.4,11.7,102.8,5907|51572,2,23,NA,NA
49035112822,49035113515,69,18.2,15.600000000000001,22.2,2.2,11.1,69.4,5907|2053,2,15,NA,102
49035112822,49035104300,102,18.2,13.3,46.2,1.5,23,102.1,5907|2022,2,22,NA,NA
49035112822,49035112614,92,18.2,26.6,17.5,2.8,27.1,92.3,5907|20201|45418,3,15,NA,73
49035112822,49035112100,61,18.2,16.4,20,1.4,5.6,61.6,5907|51572,2,13,NA,116
49035112822,49035112619,83,18.2,26.6,17.5,2.8,18.1,83.3,5907|20201|45418,3,13,NA,59
49035112822,49035103500,90,18.2,23.5,38.4,2.3,7.7,90.1,5907|45409,2,21,NA,NA
49035112822,49035113410,103,18.2,12,58.2,0.9,13.9,103.2,5907|2332,2,23,NA,NA
49035112822,49035104800,86,18.2,15.600000000000001,44.8,1.3,7.1,86.8,5907|32878,2,20,NA,NA
49035112822,49035112611,67,18.2,15.600000000000001,17,1.3,15,67,5907|32878,2,10,NA,52
49035112822,49035111600,76,18.2,12,28.1,0.9,16.9,76.1,5907|2332,2,15,NA,NA
49035112822,49035113511,82,18.2,16.4,34,1.4,12.8,82.8,5907|51572,2,15,NA,NA
49035112822,49035113802,94,18.2,15.600000000000001,38.2,2.2,20.5,94.7,5907|2053,2,23,NA,NA
49035112822,49035110702,91,18.2,22.3,35.8,0.5,14.4,91.2,5907|51295,2,20,NA,NA
49035112822,49035113505,105,18.2,16.4,50.5,1.4,18.6,105.2,5907|51572,2,22,NA,NA
49035112822,49035113803,94,18.2,15.600000000000001,40,2.2,18.9,94.8,5907|2053,2,24,NA,NA
49035112822,49035111802,85,18.2,22.9,35.6,0.9,8,85.6,5907|27613,2,17,NA,NA
49035112822,49035110600,91,18.2,16.700000000000003,42,1.1,13.6,91.7,5907|2343,2,22,NA,NA
49035112822,49035112617,99,18.2,25,22,2.8,31,99,5907|20201,2,11,109,51
49035112822,49035112605,56,18.2,10.8,5,0,22.1,56.1,5907,1,7,67,31
49035112822,49035100700,86,18.2,12,41.3,5.3,9.4,86.2,5907|19936,2,20,NA,NA
49035112822,49035100100,110,18.2,12,41.3,5.3,33.8,110.7,5907|19936,2,23,NA,NA
49035112822,49035112904,87,18.2,23.3,28.7,0.5,16.6,87.4,5907|2061,2,19,NA,104
49035112822,49035102701,84,18.2,13.9,45.6,2.9,4.2,84.9,5907|45409,2,21,NA,NA
49035112822,49035112921,66,18.2,22.4,20.2,2.5,2.8,66,5907|45424,2,11,NA,76
49035112822,49035112613,79,18.2,25,13.6,2.8,20.2,79.8,5907|20201,2,8,85,42
49035112822,49035114100,85,18.2,13.3,41,1.5,11.4,85.4,5907|2022,2,21,NA,NA
49035112822,49035112001,69,18.2,12.4,22.2,2.4,14.7,69.9,5907|27610,2,15,NA,114
49035112822,49035112002,75,18.2,12.4,18.6,2.4,24.3,75.9,5907|27610,2,13,NA,103
49035112822,49035110500,97,18.2,22.3,40.4,0.5,15.6,97.1,5907|51295,2,23,NA,NA
49035112822,49035112616,80,18.2,25,22,2.8,12.6,80.7,5907|20201,2,12,120,55
49035112822,49035110701,81,18.2,15.600000000000001,36.4,1.3,9.8,81.2,5907|32878,2,18,NA,NA
49035112822,49035112917,85,18.2,14.5,35,1.4,16.3,85.3,5907|8246,2,14,NA,77
49035112822,49035101700,79,18.2,13.5,44.2,2.6,1.5,79.9,5907|45418,2,22,NA,NA
49035112822,49035113102,86,18.2,28.6,29,2.5,8.5,86.8,5907|45424|34504,3,14,NA,82
49035112822,49035104400,107,18.2,13.3,46.2,1.5,28.8,107.9,5907|2022,2,24,NA,NA
49035112822,49035102100,74,18.2,13.5,39.5,2.6,0.8,74.6,5907|45418,2,21,NA,NA
49035112822,49035112502,60,18.2,15.600000000000001,19.1,1.3,6.8,60.9,5907|32878,2,11,NA,73
49035112822,49035103000,86,18.2,10.8,28,0,29.8,86.8,5907,1,20,NA,NA
49035112822,49035111202,71,18.2,13.700000000000001,25,2.1,12.7,71.7,5907|2069,2,14,NA,79
49035112822,49035102802,92,18.2,21,39,4.8,9.6,92.6,5907|45409|25310,3,18,NA,NA
49035112822,49035112905,82,18.2,23.3,25,0.5,15.1,82.1,5907|2061,2,15,NA,105
49035112822,49035102801,85,18.2,13.9,39.1,2.9,11.8,85.8,5907|45409,2,20,NA,NA
49035112822,49035110300,96,18.2,25.9,37.9,1.9,12.3,96.2,5907|2328,2,21,NA,NA
49035112822,49035114200,94,18.2,33.900000000000006,14.9,0.9,26.9,94.8,5907|34522,2,12,NA,69
49035112822,49035113411,100,18.2,16.1,51.5,4.7,9.6,100.2,5907|39020|34504,3,23,NA,NA
49035112822,49035102000,90,18.2,16.8,41,0,14.3,90.3,5907|8246,2,20,NA,NA
49035112822,49035113514,77,18.2,16.4,29.1,1.4,11.9,77,5907|51572,2,16,NA,117
49035112822,49035113011,111,45.3,29.3,8.4,0,28.3,111.4,45422,1,9,114,66
49035112822,49035101000,99,18.2,25.4,44.3,2.6,8.6,99.1,5907|38724,2,26,NA,NA
49035112822,49035104900,82,18.2,17.1,35.4,2.8,8.8,82.2,5907|2022|27614,3,16,NA,NA
49035112822,49035112805,46,16.8,1.2,2,0,26.6,46.7,5907,1,5,53,20
49035112822,49035104700,93,18.2,15.600000000000001,45.9,1.3,13,93.9,5907|32878,2,19,NA,NA
49035112822,49035112403,53,18.2,14.5,17.8,0.3,2.7,53.4,5907|87445,2,11,NA,62
49035112822,49035103900,87,18.2,13.3,47.8,1.5,6.8,87.7,5907|2022,2,22,NA,NA
49035112822,49035113305,66,18.2,12.4,33,1.4,1.3,66.3,5907|39020,2,18,NA,NA
49035112822,49035112916,91,18.2,30.1,26.9,2.8,13.3,91.2,5907|45424|87442,3,16,NA,89
49035112822,49035113412,117,18.2,15.5,51.9,4.2,28,117.8,5907|39020|34505,3,25,NA,NA
49035112822,49035112609,70,18.2,25,19,2.8,5.3,70.3,5907|20201,2,13,NA,66
49035112822,49035110200,100,18.2,25.9,41.5,1.9,12.9,100.5,5907|2328,2,23,NA,NA
49035112822,49035112612,71,18.2,25,7.5,2.8,18.2,71.7,5907|20201,2,8,91,43
49035112822,49035111903,80,18.2,16.700000000000003,27.8,1.1,16.4,80.2,5907|2343,2,19,NA,NA
49035112822,49035111101,74,18.2,15.600000000000001,28.4,1.3,10.8,74.2,5907|32878,2,14,NA,96
49035112822,49035111103,77,18.2,15.600000000000001,27,1.3,15.9,77.9,5907|32878,2,15,NA,101
49035112822,49035112608,83,18.2,25,12.7,2.8,24.5,83.1,5907|20201,2,10,113,57
49035112822,49035112615,82,18.2,26.6,17.5,2.8,17.6,82.8,5907|20201|45418,3,13,NA,76
49035112822,49035112302,68,18.2,22.9,16.3,0.9,10.5,68.8,5907|27613,2,14,NA,75
49035112822,49035112618,79,18.2,15.600000000000001,17,1.3,27,79,5907|32878,2,11,NA,74
